组织机构代码,单位名称,行政区划,行业代码,管理机构,营业额本月止累计,营业额上年同期累计
30404722X,佛山市禅城区顺意名宴饮食服务有限公司,440604100002（吉利社区居委会）,6210,4.40604E+11,38,39
304226973,佛山市金鹊酒店管理有限公司,440604012028（红棉社区居委会）,6129,4.40604E+11,39,40
304251116,佛山市禅香餐饮服务有限公司,440604010026（江滨社区居委会）,6299,4.40604E+11,40,41
314804757,佛山市银钻快捷商务酒店有限公司,440604100210（吉利村民委员会）,6129,4.40604E+11,41,42
315053051,佛山博鳌港餐饮管理有限公司,440604011214（海口村民委员会）,6210,4.40604E+11,42,43
315069707,佛山市演厨汇汇点餐饮有限公司,440604012025（山紫社区居委会）,6210,4.40604E+11,43,44
315152025,佛山宝骏隆酒店管理有限公司,440604100210（吉利村民委员会）,6129,4.40604E+11,44,45
315262697,佛山市彩福餐饮服务有限公司,440604010025（东平社区居委会）,6210,4.40604E+11,45,46
323261985,佛山市水道桥餐饮有限公司,440604010011（湖景社区居委会）,6210,4.40604E+11,46,47
323313220,佛山市建铂餐饮管理有限公司,440604012025（山紫社区居委会）,6210,4.40604E+11,47,48
323319091,佛山市湘韵餐饮有限公司,440604100002（吉利村民委员会）,6210,4.40604E+11,48,49
325060175,佛山市北香园餐饮有限公司,440604012007（永安社区居委会）,6210,4.40604E+11,49,50
325060490,佛山市应记面家餐饮有限公司,440604010011（环湖社区居委会）,6220,4.40604E+11,50,51
325060845,佛山市大可以餐饮有限公司,440604010003（惠景社区居委会）,6220,4.40604E+11,51,52
33475964X,佛山市顺发餐饮服务有限公司,440604100210（吉利村民委员会）,6210,4.40604E+11,52,53
33476334X,佛山市陶园里餐饮投资管理有限公司,440604010200（番村村民委员会）,6210,4.40604E+11,53,54
334867982,佛山臻盈达投资管理有限公司,440604011212（弼唐村民委员会）,6129,4.40604E+11,54,55
338009790,佛山湘聚湘里人家酒楼有限公司,440604012201（永新村民委员会）,6210,4.40604E+11,55,56
338156344,佛山市阿衡达酒店管理有限公司,440604012203（朝东村民委员会）,6110,4.40604E+11,56,57
345291739,佛山市满东酒楼有限公司,440604011012（大富村民委员会）,6210,4.40604E+11,57,58
345317521,佛山探鱼餐饮管理有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,58,59
351200311,广东牛一碗餐饮管理有限公司,440604010009（季华社区居委会）,6220,4.40604E+11,59,60
351213665,佛山市名馆餐饮管理有限公司,440604012055（同济社区居委会）,6210,4.40604E+11,60,61
351260277,佛山市一家人酒店有限公司,440604011004（清水桥社区居委会）,6129,4.40604E+11,61,62
354653949,佛山南国陶源酒店有限公司,440604010017（三友社区居委会）,6129,4.40604E+11,62,63
398033012,佛山市福临联邦酒楼有限公司,440604011006（东便社区居委会）,6210,4.40604E+11,63,64
398048003,佛山君翔酒店有限公司,440604011214（海口村民委员会）,6129,4.40604E+11,64,65
398157066,佛山唯美堤岸酒店有限公司,440604010205（金澜社区居委会）,6129,4.40604E+11,65,66
557293680,佛山市满福楼饮食有限公司,440604012201（忠义社区居委会）,6210,4.40604E+11,66,67
557326024,佛山市味国厨房餐饮有限公司,440604012011（市东社区居委会）,6210,4.40604E+11,67,68
559128697,佛山市维也纳锦宏酒店管理有限公司,440604012035（建设社区居委会）,6110,4.40604E+11,68,69
560888933,佛山市金苑轩海鲜酒家,440604010204（金子苑社区居委会）,6210,4.40604E+11,69,70
562617360,佛山市东江国际大酒店管理有限公司,440604010025（东平社区居委会）,6129,4.40604E+11,70,71
568269934,佛山市禾本饮食有限公司,440604010011（环湖社区居委会）,6210,4.40604E+11,71,72
570137682,佛山市金御大酒店有限公司,440604100201（南庄社区居委会）,6110,4.40604E+11,72,73
574517682,佛山市禅城区东海明珠饮食有限公司,440604011211（东鄱村民委员会）,6210,4.40604E+11,73,74
577910594,佛山市福会餐饮文化有限公司,440604010205（深村村民委员会）,6210,4.40604E+11,74,75
57970521X,佛山益康酒店管理有限公司,440604012034（兰桂社区居委会）,6110,4.40604E+11,75,76
582964562,佛山市世纪东方大酒楼有限公司,440604012011（庆宁社区居委会）,6210,4.40604E+11,76,77
590073479,佛山市登喜来酒店有限公司,440604012204（东升村民委员会）,6110,4.40604E+11,77,78
594078349,佛山朸濬悦来客栈有限公司,440604011004（清水桥社区居委会）,6129,4.40604E+11,78,79
595844834,广东千喜鹤餐饮管理服务有限公司,440604011006（东便社区居委会）,6210,4.40604E+11,79,80
597496159,佛山市禅城区品荟嘉宴酒楼,440604010200（番村村民委员会）,6210,4.40604E+11,80,81
617620293,佛山金城大酒店有限公司,440604012033（铁军社区居委会）,6110,4.40604E+11,81,82
617628543,佛山宾馆有限公司,440604012025（山紫社区居委会）,6110,4.40604E+11,82,83
617632569,佛山大家乐饮食有限公司,440604012036（沙塘社区居委会）,6220,4.40604E+11,83,84
663313198,佛山市银太阳餐饮管理服务有限公司,440604010200（河宕村民委员会）,6210,4.40604E+11,84,85
664975919,佛山市顺泰饮食管理服务有限公司,440604012031（白燕社区居委会）,6210,4.40604E+11,85,86
666516302,佛山市恒安瑞士酒店管理有限公司,440604012033（铁军社区居委会）,6110,4.40604E+11,86,87
66824032X,佛山市御海湾饮食有限公司,440604012055（同济社区居委会）,6210,4.40604E+11,87,88
671571816,佛山海璟酒店有限公司,440604012016（上沙社区居委会）,6121,4.40604E+11,88,89
673069483,佛山市金徕假日酒店有限公司,440604012202（新城社区居委会）,6110,4.40604E+11,89,90
677065658,佛山市银天大酒店有限公司,440604011203（村尾村民委员会）,6210,4.40604E+11,90,91
678885957,佛山市金瑞轩海鲜饮食有限公司,440604010207（石梁村民委员会）,6210,4.40604E+11,91,92
686375631,佛山市纳一空间茶业有限公司,440604011004（清水桥社区居委会）,6210,4.40604E+11,92,93
68639420X,广东好来客集团有限公司,440604012055（朝安东社区居委会）,6241,4.40604E+11,93,94
688666811,佛山市盈栢酒店管理有限公司,440604010200（河宕村民委员会）,6121,4.40604E+11,94,95
690474640,佛山宝嘉酒楼有限公司,440604010005（福华社区居委会）,6210,4.40604E+11,95,96
696475193,佛山市腾龙伟业酒店管理有限公司,440604012064（新城社区居委会）,6110,4.40604E+11,96,97
698120548,佛山市哗家餐饮有限公司,440604011004（清水桥社区居委会）,6210,4.40604E+11,97,98
707945112,佛山市禅城区西南饭店,440604010001（塘头村民委员会）,6210,4.40604E+11,98,99
712397085,佛山市禅城区新逢源酒家,440604011002（江湾社区居委会）,6210,4.40604E+11,99,100
719270263,佛山市海悦饮食有限公司,440604012063（唐园社区居委会）,6210,4.40604E+11,100,101
725072204,佛山市禅城区绿苑茶艺馆,440604011006（东便社区居委会）,6210,4.40604E+11,101,102
725465016,佛山市金银酒店有限公司,440604012033（铁军社区居委会）,6110,4.40604E+11,102,103
726514940,佛山市石湾宾馆有限公司,440604012030（花园社区居委会）,6110,4.40604E+11,103,104
734124758,佛山市文苑大酒店有限公司,440604012058（体育社区居委会）,6110,4.40604E+11,104,105
739860498,佛山市鲤鱼门金都酒店有限公司,440604010016（榴苑社区居委会）,6210,4.40604E+11,105,106
746267705,佛山市华夏明珠大酒店有限公司,440604100002（吉利社区居委会）,6129,4.40604E+11,106,107
749167371,佛山市利苑饮食有限公司,440604010205（澜石社区居委会）,6220,4.40604E+11,107,108
75205292X,佛山市禅城区万豪大酒店,440604010205（城北社区居委会）,6210,4.40604E+11,108,109
759218398,佛山市鲤鱼门食神饮食有限公司,440604011004（清水桥社区居委会）,6210,4.40604E+11,109,110
763821763,佛山市珀丽酒店有限公司,440604012203（朝安东社区居委会）,6129,4.40604E+11,110,111
766570613,佛山市鲤鱼门怡景酒店有限公司,440604010013（怡景社区居委会）,6210,4.40604E+11,111,112
770188898,佛山市鸿益餐饮配送有限公司,440604010208（湾华村民委员会）,6241,4.40604E+11,112,113
777841378,广东省万家欢企业管理服务有限公司,440604011006（东便社区居委会）,6241,4.40604E+11,113,114
782987793,佛山市金帝豪大酒店有限公司,440604011211（东鄱村民委员会）,6129,4.40604E+11,114,115
791195464,佛山市禅城区尖沙咀海鲜酒家,440604011011（白坭村民委员会）,6210,4.40604E+11,115,116
794669733,佛山市禅城区永兴烧鹅皇餐厅,440604100210（吉利村民委员会）,6210,4.40604E+11,116,117
79620688X,佛山市宝行商务酒店有限公司,440604012063（唐园社区居委会）,6110,4.40604E+11,117,118
799349114,佛山市恒卓餐饮配送有限公司,440604010208（怡景社区居委会）,6220,4.40604E+11,118,119
L06056374,佛山市禅城区南庄叙福楼海鲜酒家（普通合伙）,440604100202（紫南村民委员会）,6210,4.40604E+11,119,120
L1457653X,佛山市禅城区水秀名轩食府（普通合伙）,440604010015（湖景社区居委会）,6210,4.40604E+11,120,121
MA4UHQYD8,佛山市悦百汇餐饮有限公司,440604012011（庆宁社区居委会）,6210,4.40604E+11,121,122
MA4UKNQN7,佛山德富旅业有限公司,440604011001（纯阳社区居委会）,6129,4.40604E+11,122,123
MA4UL27N4,佛山市湖城酒店有限公司,440604011001（纯阳社区居委会）,6129,4.40604E+11,123,124
MA4UM4C5X,佛山市金利泰酒店有限公司,440604011212（弼唐村民委员会）,6129,4.40604E+11,124,125
MA4UMM9W0,佛山市荷塘月色酒店有限公司,440604012040（东园社区居委会）,6121,4.40604E+11,125,126
MA4UMUN50,佛山湘利酒店管理有限公司,440604011206（张槎村民委员会）,6129,4.40604E+11,126,127
MA4UN6GEX,佛山山顶人餐饮服务有限公司,440604012034（城北社区居委会）,6210,4.40604E+11,127,128
MA4UQ0L90,佛山市信朝餐饮服务有限公司,440604010200（河宕村民委员会）,6210,4.40604E+11,128,129
MA4UQNPU0,佛山市陶醉馆文化艺术有限公司,440604010019（忠信社区居委会）,6210,4.40604E+11,129,130
MA4UT0CP0,佛山市米亚酒店,440604100208（堤田村民委员会）,6129,4.40604E+11,130,131
MA4UTQ57X,佛山市铖铨酒店管理有限公司,440604012204（东升村民委员会）,6129,4.40604E+11,131,132
MA4UTTH74,佛山华强诺华廷酒店有限公司,440604012013（培德社区居委会）,6110,4.40604E+11,132,133
MA4UU8PY4,佛山市满记潮牛餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,133,134
MA4UUA8W5,佛山市永利洲际酒店有限公司,440604100202（紫南村民委员会）,6129,4.40604E+11,134,135
MA4UUUKJX,佛山市渔滋渔味餐饮有限公司,440604100208（堤田村民委员会）,6210,4.40604E+11,135,136
MA4UXB5Q6,佛山市天耀畅享名厨餐饮有限公司,440604012054（同华社区居委会）,6210,4.40604E+11,136,137
MA4W0BH28,佛山市上品人家餐饮有限公司,440604012202（镇安村民委员会）,6210,4.40604E+11,137,138
MA4W21LM0,佛山市东珺荟餐饮服务有限公司,440604011012（大富村民委员会）,6210,4.40604E+11,138,139
MA4W2W888,佛山市潮膳食府有限公司,440604010211（黎冲村民委员会）,6210,4.40604E+11,139,140
MA4W70220,佛山市安味餐饮管理有限公司,440604012203（忠义社区居委会）,6210,4.40604E+11,140,141
MA4W8X1DX,佛山市南郡宴餐饮有限公司,440604012203（朝东村民委员会）,6210,4.40604E+11,141,142
MA4WFL221,佛山市永生豪餐饮服务有限公司,440604010202（塘头村民委员会）,6210,4.40604E+11,142,143
MA4WJPP98,佛山市领逸物业经营管理有限公司,440604100202（紫南村民委员会）,6129,4.40604E+11,143,144
MA4WP3NUX,佛山市泊居酒店有限公司,440604100002（吉利社区居委会）,6129,4.40604E+11,144,145
MA4WPNXN0,广东德徕酒店管理有限公司,440604010024（文华社区居委会）,6110,4.40604E+11,145,146
MA4WPP5E4,佛山市刘家北院餐饮管理有限公司,440604011004（清水桥社区居委会）,6210,4.40604E+11,146,147
MA4WQ13L9,广东励骏大酒店有限公司,440604100201（南庄村民委员会）,6129,4.40604E+11,147,148
MA4WT9R59,佛山市朗琴酒店管理有限公司,440604012037（福禄社区居委会）,6110,4.40604E+11,148,149
MA4WXAGJ8,佛山市得闲餐饮管理有限公司,440604010005（福华社区居委会）,6210,4.40604E+11,149,150
MA4X111E3,佛山纯再餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,150,151
MA4X1P50X,佛山碧桂园酒店有限公司,440604010025（东平社区居委会）,6121,4.40604E+11,151,152
MA4X2QTM0,佛山市嘉耀酒店管理有限公司,440604010006（绿景社区居委会）,6121,4.40604E+11,152,153
MA4X6N747,佛山市新贵楼饮食有限公司,440604010006（绿景社区居委会）,6210,4.40604E+11,153,154
MA4X953H5,佛山市羊之道餐饮管理有限公司,440604011002（江湾社区居委会）,6210,4.40604E+11,154,155
MA51291X9,佛山市海晖酒楼有限公司,440604012049（忠义社区居委会）,6210,4.40604E+11,155,156
MA512RDT1,佛山禅城烽记酒家饮食有限公司,440604010025（东平社区居委会）,6210,4.40604E+11,156,157
MA515KAR3,佛山市佬麻雀餐饮有限公司,440604012034（兰桂社区居委会）,6210,4.40604E+11,157,158
MA518XQ81,佛山市珺盛酒店管理有限公司,440604100002（吉利社区居委会）,6110,4.40604E+11,158,159
MA51PWFN4,佛山市潮仁食府餐饮管理有限公司,440604010009（季华社区居委会）,6210,4.40604E+11,159,160
MA51Q144X,佛山市宴福酒楼有限公司,440604100201（南庄村民委员会）,6210,4.40604E+11,160,161
MA51R2DB2,佛山市鲤鱼门盛宴饮食有限公司,440604010024（文华社区居委会）,6210,4.40604E+11,161,162
MA51UDRP2,佛山市奇涛酒店管理有限公司,440604100004（河畔社区居委会）,6121,4.40604E+11,162,163
MA521GBQX,海生大酒楼（佛山）有限公司,440604100003（人和社区居委会）,6210,4.40604E+11,163,164
MA5263G94,佛山市福贤盛景餐饮服务有限公司,440604010001（泷景社区居委会）,6210,4.40604E+11,164,165
MA52CBWY5,佛山味之雅餐饮管理服务有限公司,440604011211（东鄱村民委员会）,6210,4.40604E+11,165,166
MA52H2DA0,佛山市明泰酒店管理有限公司,440604010001（澜石社区居委会）,6121,4.40604E+11,166,167
MA52J0E35,广东岭南逸品餐饮管理有限公司,440604010019（忠信社区居委会）,6210,4.40604E+11,167,168
MA52JHBH7,百善餐饮管理（广东）有限公司,440604011213（张槎村民委员会）,6241,4.40604E+11,168,169
MA52JN3A5,佛山市长祈餐饮服务有限公司,440604012025（山紫社区居委会）,6210,4.40604E+11,169,170
MA52K81X5,佛山市四季花开酒店运营管理有限公司,440604010208（湾华村民委员会）,6121,4.40604E+11,170,171
MA52NC081,瑞幸咖啡（佛山）有限公司,440604012025（山紫社区居委会）,6232,4.40604E+11,171,172
MA52WQW66,佛山市新旋宫酒店管理有限公司,440604012036（沙塘社区居委会）,6121,4.40604E+11,172,173
MA535W505,广东淘谷餐饮管理有限公司,440604010021（莲峰社区居委会）,6210,4.40604E+11,173,174
MA538JMW6,佛山市禅城区猪腰一家美食餐饮有限公司,440604011004（清水桥社区居委会）,6210,4.40604E+11,174,175
MA5391HX9,佛山市禅城区龙金品饮食服务有限公司,440604010203（沙岗村民委员会）,6241,4.40604E+11,175,176
MA539GXD8,佛山市悦赏里餐饮有限公司,440604010205（深村村民委员会）,6210,4.40604E+11,176,177
MA53EMC36,佛山市禅城区旺祥美食酒家,440604100211（龙津村民委员会）,6210,4.40604E+11,177,178
MA53H27W3,佛山市陶谷月影餐饮服务有限公司,440604100208（堤田村民委员会）,6210,4.40604E+11,178,179
MA53J4F5X,佛山好福道餐饮管理有限公司,440604012034（兰桂社区居委会）,6291,4.40604E+11,179,180
MA53N1699,佛山市禅城区瓷海星语餐饮服务有限公司,440604100208（绿岛社区居委会）,6210,4.40604E+11,180,181
MA54LCB15,佛山市福银宴餐饮有限公司,440604011001（纯阳社区居委会）,6210,4.40604E+11,181,182
MA54LQ400,佛山市猪腰一家华远餐饮有限公司,440604010205（深村村民委员会）,6210,4.40604E+11,182,183
MA54PFPG7,佛山市福金宴餐饮有限公司,440604100210（吉利村民委员会）,6210,4.40604E+11,183,184
MA55FUHK6,佛山市百悦满棠餐饮管理有限公司,440604010209（鄱阳村民委员会）,6210,4.40604E+11,184,185
X17629120,佛山市莱茵阁西餐咖啡厅（普通合伙）,440604012040（东园社区居委会）,6210,4.40604E+11,185,186
